filename,product_id,page_title,slug,short_description,full_description,seo_title,meta_description
BRD_5996.JPG,EN-HEMP-SEED-OIL-250ML,Eco Natural Kenevir Tohumu Yağı – 250 ml,eco-natural-hemp-seed-oil-250ml,"Hafif fındık aroması ve temiz, doğal karaktere sahip pürüzsüz, bitki tabanlı yağ.","Eco Natural Kenevir Tohumu Yağı, ayırıcı lezzet ve doğal malzemeleri değerlendiren mutfaklar için tasarlanmış premium soğuk kullanım yağıdır. Hafif fındık tadı ve pürüzsüz dokusu, salatalar, kaseler ve yumuşak, topraklı bir notun arzu edildiği bitirme uygulamalarına çok yönlü bir katkıdır.",Eco Natural Kenevir Tohumu Yağı 250 ml | Premium Bitki Tabanlı Yağ,"Eco Natural Kenevir Tohumu Yağı 250 ml'yi keşfedin, hafif fındık tadı, pürüzsüz doku ve çok yönlü soğuk kullanım ozalitesiyle premium bitki tabanlı yağ."
BRD_5979.JPG,EN-CAROB-EXTRACT-680G,Eco Natural Keçiboynuzu Özütü – 680 g,eco-natural-carob-extract-680g,Derin geleneksel karaktere sahip zengin ve doğal olarak tatlı keçiboynuzu özütü.,"Eco Natural Keçiboynuzu Özütü, geleneksel pantry sabitelerinden ilham alan tam-gövdeli tatllık ve yoğun, tatmin edici doku sunar. Bu 680 g format, kahvaltıda servis edilsin, kaşıkla tadılsın veya tatlı preparasyonlarında kullanılsın, düzenli ev kullanımı için idealdir.",Eco Natural Keçiboynuzu Özütü 680 g | Zengin Geleneksel Tatllık,"Eco Natural Keçiboynuzu Özütü 680 g'yi alışveriş edin, kahvaltı, tatlılar ve günlük kullanım için tam-gövdeli lezzete sahip zengin ve doğal tatlı keçiboynuzu spreadi."
BRD_5987.JPG,EN-CAROB-EXTRACT-340G,Eco Natural Keçiboynuzu Özütü – 340 g,eco-natural-carob-extract-340g,"Pürüzsüz doku ve derin, doğal olarak tatlı lezzete sahip konsantre keçiboynuzu özütü.","340 g boyutundaki Eco Natural Keçiboynuzu Özütü, aynı zengin geleneksel tadı daha kompakt bir formatta sunar. Kahvaltı masalarında, basit tatlılarda veya doğrudan serviste yoğun, aromatik tatlı spread isteyenler için pratik bir günlük seçenektir.",Eco Natural Keçiboynuzu Özütü 340 g | Pürüzsüz & Doğal Olarak Tatlı,"Eco Natural Keçiboynuzu Özütü 340 g'yi keşfedin, konsantre ve doğal olarak tatlı keçiboynuzu spreadi, pürüzsüz doku ve günlük servis çok yönlülüğü."
BRD_5993.JPG,EN-POMEGRANATE-SOUR-340G,Eco Natural Nar Ekşi – 340 g,eco-natural-pomegranate-sour-340g,"Tatlı yemeklere derinlik ve parlaklık getiren cesur, tangy nar ekşi.","Eco Natural Nar Ekşi, günlük pişirmede daha keskin, meyve-ağır bitirme notu isteyen mutfaklar için tasarlanmıştır. Tatlı-ekşi dengesi, salatalar, marine edilen soslar, sebze yemekleri ve ekstra derinlik ve karakterden yararlanan geleneksel tarifler için çok uygundur.",Eco Natural Nar Ekşi 340 g | Tangy Mutfak Temel Öğesi,"Eco Natural Nar Ekşi 340 g'yi satın alın, cesur tatlı-ekşi pantry temel öğesi, salatalar, marine edilen soslar, tatlı yemekler ve geleneksel tarifler için."
BRD_6019.JPG,EN-AVOCADO-OIL-250ML,Eco Natural Avokado Yağı – 250 ml,eco-natural-avocado-oil-250ml,"Rafine, temiz lezzet profiline sahip pürüzsüz ve hassas avokado yağı.","Eco Natural Avokado Yağı, basit, zarafetli günlük kullanım için tasarlanmış premium mutfak yağıdır. Temiz tadı ve pürüzsüz bitişi, hafif ve cilalanmış yağının tercih edildiği salatalar, damlatma ve bitirme yemekleri için güçlü bir seçimdir.",Eco Natural Avokado Yağı 250 ml | Pürüzsüz Premium Mutfak Yağı,"Eco Natural Avokado Yağı 250 ml'yi keşfedin, salatalar, damlatma ve rafine günlük mutfak kullanımı için ideal temiz ve hassas premium yağ."
BRD_5999.JPG,EN-PUMPKIN-SEED-OIL-250ML,Eco Natural Kabak Çekirdeği Yağı – 250 ml,eco-natural-pumpkin-seed-oil-250ml,"Cesur kavrulmuş tohum karakteri ve gourmet cazibesine sahip zengin, ayırıcı yağ.","Eco Natural Kabak Çekirdeği Yağı, derin lezzeti ve akılda kalıcı tohum-ağır profiliyle dikkat çeker. Salatalar, soğuk tabaklar ve daha güçlü, daha etkileyici bir yağın yemeğe karakter katabildiği özel servis anları için çok uygundur.",Eco Natural Kabak Çekirdeği Yağı 250 ml | Zengin Gourmet Lezzet,"Eco Natural Kabak Çekirdeği Yağı 250 ml'yi alışveriş edin, kavrulmuş tohum notları ve gourmet soğuk kullanım çok yönlülüğü ile cesur ve lezzetli premium yağ."
BRD_6012.JPG,EN-POMEGRANATE-SEED-OIL-250ML,Eco Natural Nar Çekirdeği Yağı – 250 ml,eco-natural-pomegranate-seed-oil-250ml,Premium sunumu ve ayırıcı niş profiliyle uzmanlık tohumu yağı.,"Eco Natural Nar Çekirdeği Yağı, seçilmiş doğal ürün rangesi için dikkat çekici bir katkıdır. Zarif sunumu ve uzmanlık konumlandırması ile, sıradan olmayan yağlar arayan ve rafine bir görünüme ve güçlü premium kimliğe sahip müşterileri hedef alır.",Eco Natural Nar Çekirdeği Yağı 250 ml | Uzmanlık Premium Yağı,"Eco Natural Nar Çekirdeği Yağı 250 ml'yi keşfedin, zarif sunumu ve premium doğal ürün cazibesiyle ayırıcı uzmanlık yağı."
BRD_6017.JPG,EN-BLACK-SEED-OIL-250ML,Eco Natural Çörek Otu Yağı – 250 ml,eco-natural-black-seed-oil-250ml,Güçlü geleneksel karaktere sahip cesur ve aromatik çörek otu yağı.,"Eco Natural Çörek Otu Yağı, ayırıcı kimlikle miras-ilham pantry ürünlerini takdir eden müşteriler için tasarlanmıştır. Yoğun aroması ve premium sunumu, doğal ve uzmanlık yağı koleksiyonları içinde dikkate değer bir seçenektir.",Eco Natural Çörek Otu Yağı 250 ml | Cesur Geleneksel Yağ,"Eco Natural Çörek Otu Yağı 250 ml'yi satın alın, güçlü geleneksel cazibeye ve premium sunuma sahip cesur ve aromatik uzmanlık yağı."
BRD_6031.JPG,MH-SAFFLOWER-OIL-250ML,Metis Hierapolis Safran Yağı – 250 ml,metis-hierapolis-safflower-oil-250ml,"Temiz, premium sunuma sahip hafif ve çok yönlü safran yağı.","Metis Hierapolis Safran Yağı, basit, günlük mutfak kullanımı için uygun rafine bitki tabanlı yağıdır. Temiz profili ve cilalanmış ambalajı, modern mutfaklar, soğuk uygulamalar ve doğal uzmanlık ürünlerinin etrafında inşa edilen raflar için güçlü bir seçimdir.",Metis Hierapolis Safran Yağı 250 ml | Hafif Premium Yağ,"Metis Hierapolis Safran Yağı 250 ml'yi keşfedin, doğal mutfaklar ve günlük soğuk kullanım uygulamaları için hafif ve çok yönlü premium yağ."
BRD_6033.JPG,EN-THISTLE-SEED-OIL-250ML,Eco Natural Deve Dikeni Yağı – 250 ml,eco-natural-thistle-seed-oil-250ml,Cesur botaniksel kimlik ve premium raf cazibesiyle ayırıcı tohumu yağı.,"Eco Natural Deve Dikeni Yağı, geleneksel tohum tabanlı yağlar ve ayırıcı doğal malzemelere çekilen müşteriler için niş uzmanlık ürünü olarak konumlandırılır. Temiz ambalajı ve odaklanmış kimliği, seçilmiş wellness ve gourmet seçkilerine güçlü bir katkıdır.",Eco Natural Deve Dikeni Yağı 250 ml | Uzmanlık Tohumu Yağı,"Eco Natural Deve Dikeni Yağı 250 ml'yi alışveriş edin, geleneksel karaktere ve güçlü botaniksel raf cazibesiyle premium uzmanlık tohumu yağı."
